TIME,GEO,Value,scaleval1,scaleval2
2008,Germany (until 1990 former territory of the FRG),4.57,0.284991568296796,-0.6400424213488289
2009,Germany (until 1990 former territory of the FRG),5.06,0.3676222596964586,-0.14536376572601342
2010,Germany (until 1990 former territory of the FRG),5.08,0.37099494097807756,-0.12517280019038782
2011,Germany (until 1990 former territory of the FRG),4.98,0.3541315345699832,-0.2261276278685132
2000,Estonia,5.57,0.45362563237774034,0.36950585543242864
2001,Estonia,5.24,0.3979763912310287,0.036354924094613564
2002,Estonia,5.47,0.4367622259696458,0.26855102775430234
2003,Estonia,5.29,0.40640809443507586,0.08683233793367627
2004,Estonia,4.92,0.34401349072512644,-0.2867005244753892
2005,Estonia,4.88,0.33726812816188867,-0.3270824555466395
2006,Estonia,4.7,0.3069139966273187,-0.5088011453672656
2007,Estonia,4.72,0.31028667790893755,-0.4886101798316409
2008,Estonia,5.61,0.4603709949409781,0.409887786503679
2009,Estonia,6.03,0.5311973018549747,0.8338980627518071
2010,Estonia,5.66,0.4688026981450253,0.4603652003427417
2011,Estonia,5.16,0.38448566610455315,-0.04440893804788712
2000,Ireland,4.29,0.23777403035413153,-0.9227159388475814
2001,Ireland,4.24,0.22934232715008435,-0.9731933526866441
2002,Ireland,4.27,0.23440134907251256,-0.942906904383207
2003,Ireland,4.35,0.24789207419898812,-0.8621430422407063
2004,Ireland,4.66,0.30016863406408095,-0.5491830764385159
2005,Ireland,4.72,0.31028667790893755,-0.4886101798316409
2006,Ireland,4.73,0.3119730185497471,-0.4785146970638276
2007,Ireland,4.92,0.34401349072512644,-0.2867005244753892
2008,Ireland,5.67,0.4704890387858347,0.47046068311055406
2009,Ireland,6.43,0.5986509274873524,1.2377173734643097
2010,Ireland,6.41,0.5952782462057336,1.217526407928685
2011,Ireland,6.15,0.551433389544688,0.9550438559655582
2000,Greece,3.71,0.1399662731871838,-1.5082539393807108
2001,Greece,3.5,0.10455311973018551,-1.720259077504775
2002,Greece,3.57,0.11635750421585159,-1.649590698130087
2003,Greece,3.56,0.11467116357504217,-1.6596861808978995
2004,Greece,3.83,0.16020236087689715,-1.3871081461669599
2005,Greece,4.09,0.20404721753794264,-1.124625594203833
2006,Greece,5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2007,Greece,5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2008,Greece,5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2009,Greece,5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2010,Greece,5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2011,Greece,5.203988919667592,0.3919036964026293,-8.96658993082562e-16
2000,Spain,4.28,0.2360876897133221,-0.9328114216153938
2001,Spain,4.24,0.22934232715008435,-0.9731933526866441
2002,Spain,4.25,0.23102866779089376,-0.9630978699188317
2003,Spain,4.28,0.2360876897133221,-0.9328114216153938
2004,Spain,4.25,0.23102866779089376,-0.9630978699188317
2005,Spain,4.23,0.22765598650927493,-0.9832888354544564
2006,Spain,4.26,0.23271500843170317,-0.9530023871510194
2007,Spain,4.34,0.2462057335581787,-0.8722385250085186
2008,Spain,4.62,0.2934232715008432,-0.5895650075097663
2009,Spain,5.02,0.3608768971332208,-0.18574569679726377
2010,Spain,4.98,0.3541315345699832,-0.2261276278685132
2011,Spain,4.82,0.3271500843170321,-0.3876553521535146
2000,France,6.04,0.5328836424957841,0.8439935455196195
2001,France,5.95,0.5177065767284992,0.7531342006093065
2002,France,5.9,0.509274873524452,0.7026567867702438
2003,France,5.92,0.5126475548060708,0.7228477523058685
2004,France,5.8,0.4924114671163574,0.6017019590921174
2005,France,5.67,0.4704890387858347,0.47046068311055406
2006,France,5.61,0.4603709949409781,0.409887786503679
2007,France,5.62,0.4620573355817875,0.4199832692714914
2008,France,5.62,0.4620573355817875,0.4199832692714914
2009,France,5.9,0.509274873524452,0.7026567867702438
2010,France,5.86,0.5025295109612142,0.6622748556989934
2011,France,5.68,0.4721753794266441,0.4805561658783664
2000,Italy,4.52,0.27655986509274866,-0.6905198351878926
2001,Italy,4.83,0.3288364249578415,-0.37755986938570224
2002,Italy,4.6,0.2900505902192242,-0.6097559730453919
2003,Italy,4.72,0.31028667790893755,-0.4886101798316409
2004,Italy,4.56,0.2833052276559864,-0.6501379041166423
2005,Italy,4.41,0.2580101180438449,-0.8015701456338303
2006,Italy,4.67,0.30185497470489037,-0.5390875936707036
2007,Italy,4.27,0.23440134907251256,-0.942906904383207
2008,Italy,4.56,0.2833052276559864,-0.6501379041166423
2009,Italy,4.7,0.3069139966273187,-0.5088011453672656
2010,Italy,4.5,0.27318718381112983,-0.7107108007235173
2011,Italy,4.29,0.23777403035413153,-0.9227159388475814
2000,Cyprus,5.42,0.42833052276559863,0.21807361391523966
2001,Cyprus,5.98,0.5227655986509275,0.7834206489127444
2002,Cyprus,6.6,0.6273187183811129,1.4093405805171233
2003,Cyprus,7.37,0.7571669477234401,2.186692753638692
2004,Cyprus,6.77,0.6559865092748735,1.5809637875699372
2005,Cyprus,6.95,0.6863406408094435,1.762682477390564
2006,Cyprus,7.02,0.6981450252951095,1.8333508567652514
2007,Cyprus,6.95,0.6863406408094435,1.762682477390564
2008,Cyprus,7.45,0.7706576728499156,2.267456615781193
2009,Cyprus,7.98,0.8600337268128162,2.8025172024752596
2010,Cyprus,7.92,0.8499156829679595,2.7419443058683837
2011,Cyprus,7.87,0.8414839797639123,2.691466892029321
2000,Latvia,5.64,0.46543001686340635,0.4401742348071161
2001,Latvia,7.22,0.7318718381112984,2.035260512121503
2002,Latvia,6.6,0.6273187183811129,1.4093405805171233
2003,Latvia,5.58,0.45531197301854975,0.379601338200241
2004,Latvia,5.12,0.3777403035413153,-0.08479086911913747
2005,Latvia,5.14,0.38111298482293415,-0.06459990358351274
2006,Latvia,5.13,0.37942664418212474,-0.0746953863513251
